ds,y
2014-12-31,5815266798
2015-01-01,3142602912
2015-01-02,9384383229
2015-01-03,2748420512
2015-01-04,1635250905
2015-01-05,5225743188
2015-01-06,4074036537
2015-01-07,3212722643
2015-01-08,2625007979
2015-01-09,3679655257
2015-01-10,2422791283
2015-01-11,3229839455
2015-01-12,5704537243
2015-01-13,7184305005
2015-01-14,7694601554
2015-01-15,9907101010
2015-01-16,11688648143
2015-01-17,7129731433
2015-01-18,6315236917
2015-01-19,10216559637
2015-01-20,14014688721
2015-01-21,14087411003
2015-01-22,14817224673
2015-01-23,14032641874
2015-01-24,9310552780
2015-01-25,2759134464
2015-01-26,10325593873
2015-01-27,11571960593
2015-01-28,13530642402
2015-01-29,13413224626
2015-01-30,12877156409
2015-01-31,7355107556
2015-02-01,598914404
2015-02-02,2098904995
2015-02-03,3464878638
2015-02-04,4210100632
2015-02-05,4293145458
2015-02-06,6397792931
2015-02-07,5399326921
2015-02-08,3730705615
2015-02-09,7596124212
2015-02-10,10645044871
2015-02-11,11514169948
2015-02-12,7414743729
2015-02-13,7822809834
2015-02-14,2530216770
2015-02-15,1034099829
2015-02-16,5480657676
2015-02-17,8348279377
2015-02-18,6213959252
2015-02-19,4058148830
2015-02-20,6128354560
2015-02-21,4730210424
2015-02-22,3416995150
2015-02-23,6208773313
2015-02-24,8179831285
2015-02-25,7286863630
2015-02-26,4158188569
2015-02-27,5728951160
2015-02-28,3554631277
2015-03-01,3049115489
2015-03-02,9339389601
2015-03-03,7115230307
2015-03-04,9538491003
2015-03-05,8090140165
2015-03-06,8622122382
2015-03-07,8156447114
2015-03-08,6154029699
2015-03-09,17420030141
2015-03-10,19761976631
2015-03-11,19755602322
2015-03-12,20690871905
2015-03-13,22719995966
2015-03-14,14695593032
2015-03-15,13066610752
2015-03-16,25308025795
2015-03-17,16238620264
2015-03-18,18189127099
2015-03-19,18119156182
2015-03-20,18878577113
2015-03-21,11106010132
2015-03-22,6487780325
2015-03-23,4318214127
2015-03-24,9633283706
2015-03-25,13164914073
2015-03-26,15027282477
2015-03-27,9615198805
2015-03-28,7071201542
2015-03-29,5050931556
2015-03-30,17121878308
2015-03-31,17530789769
2015-04-01,22982613805
2015-04-02,16830129302
2015-04-03,15744400893
2015-04-04,11549393898
2015-04-05,10950956373
2015-04-06,18435337028
2015-04-07,13843745915
2015-04-08,15988470826
2015-04-09,11619460954
2015-04-10,17797481242
2015-04-11,19855051974
2015-04-12,18628382280
2015-04-13,26488324202
2015-04-14,32659861787
2015-04-15,30703195529
2015-04-16,25652612559
2015-04-17,34273991889
2015-04-18,20090426428
2015-04-19,11790416499
2015-04-20,20427684224
2015-04-21,24029327462
2015-04-22,21705456184
2015-04-23,26978829833
2015-04-24,24860684177
2015-04-25,8348157647
2015-04-26,15304059262
2015-04-27,29414895130
2015-04-28,32631837238
2015-04-29,33134036046
2015-04-30,29912840794
2015-05-01,34475446215
2015-05-02,28636200715
2015-05-03,21103736411
2015-05-04,33726634088
2015-05-05,23606252369
2015-05-06,36103089101
2015-05-07,43586686415
2015-05-08,29040780104
2015-05-09,17406169069
2015-05-10,10833754697
2015-05-11,27367127294
2015-05-12,33364478945
2015-05-13,35659485546
2015-05-14,35255675501
2015-05-15,40798762099
2015-05-16,31069923616
2015-05-17,27859862869
2015-05-18,45368614217
2015-05-19,37552842864
2015-05-20,29313944516
2015-05-21,45720193724
2015-05-22,42868380424
2015-05-23,31878749117
2015-05-24,17668117230
2015-05-25,25409139836
2015-05-26,39493619524
2015-05-27,51140625922
2015-05-28,53345081842
2015-05-29,47161919179
2015-05-30,9257196314
2015-05-31,17173982829
2015-06-01,42318046344
2015-06-02,51905989219
2015-06-03,56536645590
2015-06-04,56206532645
2015-06-05,46487362644
2015-06-06,41198411199
2015-06-07,25372888079
2015-06-08,43848018274
2015-06-09,62433957656
2015-06-10,60653392152
2015-06-11,55017789655
2015-06-12,33091939592
2015-06-13,40309200764
2015-06-14,32661085044
2015-06-15,29404859961
2015-06-16,62579268843
2015-06-17,49295056896
2015-06-18,56377188993
2015-06-19,57254442711
2015-06-20,37839420428
2015-06-21,40647835054
2015-06-22,51317509224
2015-06-23,69067067328
2015-06-24,63461844936
2015-06-25,55325370185
2015-06-26,37536620835
2015-06-27,50745421501
2015-06-28,43923611113
2015-06-29,53071717250
2015-06-30,66796866295
2015-07-01,64835725821
2015-07-02,61229053103
2015-07-03,45644974116
2015-07-04,36657611004
2015-07-05,39515395019
2015-07-06,56897020789
2015-07-07,53894930069
2015-07-08,62864326746
2015-07-09,64733966292
2015-07-10,69098973448
2015-07-11,46104625580
2015-07-12,52537211538
2015-07-13,53434368104
2015-07-14,70409833490
2015-07-15,73504722219
2015-07-16,51358550315
2015-07-17,67869910288
2015-07-18,47899276297
2015-07-19,52404601862
2015-07-20,70102377305
2015-07-21,79402145266
2015-07-22,79602623904
2015-07-23,79045977299
2015-07-24,76122047299
2015-07-25,57129451699
2015-07-26,49990226349
2015-07-27,74908238649
2015-07-28,79172574399
2015-07-29,81269412230
2015-07-30,83861885809
2015-07-31,80613902012
2015-08-01,59519963651
2015-08-02,48515013161
2015-08-03,78669310490
2015-08-04,85775864285
2015-08-05,87060886209
2015-08-06,85147339454
2015-08-07,81665347057
2015-08-08,60233894783
2015-08-09,47553894095
2015-08-10,72038063854
2015-08-11,87010426726
2015-08-12,86271082452
2015-08-13,84545955647
2015-08-14,75956214532
2015-08-15,57536033796
2015-08-16,55556108487
2015-08-17,73023303166
2015-08-18,69810687790
2015-08-19,85633941910
2015-08-20,84336479506
2015-08-21,84669609342
2015-08-22,65304174129
2015-08-23,52928950816
2015-08-24,80446016303
2015-08-25,82301145839
2015-08-26,82446471796
2015-08-27,84375181730
2015-08-28,80404359197
2015-08-29,33884186597
2015-08-30,52664563548
2015-08-31,84689185614
2015-09-01,88136555443
2015-09-02,85122683339
2015-09-03,82049284326
2015-09-04,81071065994
2015-09-05,48707977531
2015-09-06,46624112020
2015-09-07,47090840075
2015-09-08,61982950979
2015-09-09,89193304291
2015-09-10,79872270696
2015-09-11,58927795200
2015-09-12,44058275711
2015-09-13,55455586014
2015-09-14,84258099056
2015-09-15,91678572295
2015-09-16,92916040885
2015-09-17,76403284081
2015-09-18,60013759731
2015-09-19,60647884118
2015-09-20,59222848181
2015-09-21,88446973376
2015-09-22,95151587968
2015-09-23,93994755249
2015-09-24,89689647168
2015-09-25,86669731724
2015-09-26,63782978740
2015-09-27,54933031406
2015-09-28,89353880904
2015-09-29,71188696100
2015-09-30,84841478933
2015-10-01,78149620250
2015-10-02,69122587262
2015-10-03,33137328517
2015-10-04,36034858943
2015-10-05,75158023141
2015-10-06,84296619392
2015-10-07,88081059991
2015-10-08,84289881062
2015-10-09,75918774380
2015-10-10,53586027465
2015-10-11,57457284214
2015-10-12,79096772686
2015-10-13,80021380860
2015-10-14,81612241954
2015-10-15,79375509279
2015-10-16,70739436490
2015-10-17,40533877138
2015-10-18,41120734396
2015-10-19,76281714951
2015-10-20,83270922401
2015-10-21,88157693431
2015-10-22,80281886730
2015-10-23,66822865397
2015-10-24,34646154162
2015-10-25,45169670606
2015-10-26,75791565361
2015-10-27,55393122824
2015-10-28,49309904624
2015-10-29,58228325585
2015-10-30,67816134579
2015-10-31,15115384320
2015-11-01,45317731798
2015-11-02,81161432083
2015-11-03,87747629683
2015-11-04,84364388401
2015-11-05,78948577034
2015-11-06,63063806617
2015-11-07,39497225046
2015-11-08,36270268877
2015-11-09,63685272225
2015-11-10,68752796956
2015-11-11,62739319877
2015-11-12,46609690686
2015-11-13,51720671228
2015-11-14,35714793083
2015-11-15,41854960860
2015-11-16,60832389464
2015-11-17,47332035558
2015-11-18,55333318404
2015-11-19,50951775979
2015-11-20,46790342916
2015-11-21,6255498439
2015-11-22,8367320088
2015-11-23,34318939797
2015-11-24,43181702728
2015-11-25,40441339265
2015-11-26,8112313219
2015-11-27,8097159353
2015-11-28,14826588602
2015-11-29,17820304858
2015-11-30,40117167101
2015-12-01,51427638408
2015-12-02,37049696351
2015-12-03,39974550001
2015-12-04,10639183993
2015-12-05,18287993625
2015-12-06,27286291697
2015-12-07,47909601040
2015-12-08,54194717272
2015-12-09,59432853718
2015-12-10,57630119190
2015-12-11,57184422187
2015-12-12,32024152231
2015-12-13,16609077203
2015-12-14,39899331829
2015-12-15,50154212454
2015-12-16,44231289720
2015-12-17,41165350044
2015-12-18,37420822852
2015-12-19,16393405441
2015-12-20,19505784632
2015-12-21,29733566775
2015-12-22,39348082292
2015-12-23,28597379224
2015-12-24,15883398333
2015-12-25,5298823902
2015-12-26,6366473825
2015-12-27,8177383193
2015-12-28,5131009651
2015-12-29,17156689238
2015-12-30,15941452433
2015-12-31,14921076304
2016-01-01,7094696718
2016-01-02,10960640622
2016-01-03,10852333361
2016-01-04,30457477215
2016-01-05,34663381691
2016-01-06,38122422058
2016-01-07,41666335590
2016-01-08,28362422476
2016-01-09,14006947396
2016-01-10,8069792146
2016-01-11,18308261009
2016-01-12,16391057002
2016-01-13,20643016141
2016-01-14,37637732653
2016-01-15,34943669677
2016-01-16,17192343167
2016-01-17,5915995709
2016-01-18,10258027742
2016-01-19,22177362115
2016-01-20,24782278856
2016-01-21,32368838080
2016-01-22,29532270437
2016-01-23,17821273652
2016-01-24,15296989824
2016-01-25,33918909557
2016-01-26,35940241814
2016-01-27,37938271457
2016-01-28,39109070034
2016-01-29,38487559381
2016-01-30,27941110480
2016-01-31,16337200789
2016-02-01,44483345835
2016-02-02,26069871681
2016-02-03,38925334562
2016-02-04,38501080881
2016-02-05,36952911237
2016-02-06,23535126266
2016-02-07,22431367288
2016-02-08,34807616483
2016-02-09,26147138912
2016-02-10,26300617813
2016-02-11,27904969961
2016-02-12,26863296577
2016-02-13,9905140705
2016-02-14,4809256595
2016-02-15,17711821529
2016-02-16,30216358425
2016-02-17,37197287447
2016-02-18,39247633081
2016-02-19,46048500667
2016-02-20,43978240476
2016-02-21,20531096883
2016-02-22,44955238751
2016-02-23,45704119501
2016-02-24,25309591129
2016-02-25,35913022504
2016-02-26,35082108211
2016-02-27,36624780258
2016-02-28,33485062580
2016-02-29,41303641368
2016-03-01,23727518604
2016-03-02,33425867365
2016-03-03,29888293954
2016-03-04,37683141312
2016-03-05,21187209756
2016-03-06,28184669003
2016-03-07,59363749883
2016-03-08,74878954567
2016-03-09,66117031668
2016-03-10,57782998252
2016-03-11,59475342251
2016-03-12,36096696135
2016-03-13,7580048729
