Date,Open,High,Low,Close,Adj Close,Volume
2019-07-26,51.869999,52.432499,51.785000,51.935001,51.141891,70475600
2019-07-29,52.115002,52.660000,52.110001,52.419998,51.619480,86693600
2019-07-30,52.189999,52.540001,51.827499,52.195000,51.397919,135742800
2019-07-31,54.105000,55.342499,52.825001,53.259998,52.446659,277125600
2019-08-01,53.474998,54.507500,51.685001,52.107498,51.311756,216071600
2019-08-02,51.382500,51.607498,50.407501,51.005001,50.226093,163448400
2019-08-05,49.497501,49.662498,48.145000,48.334999,47.596859,209572000
2019-08-06,49.077499,49.517502,48.509998,49.250000,48.497894,143299200
2019-08-07,48.852501,49.889999,48.455002,49.759998,49.000103,133457600
2019-08-08,50.049999,50.882500,49.847500,50.857498,50.080845,108038000
2019-08-09,50.325001,50.689999,49.822498,50.247501,49.668159,98478800
2019-08-12,49.904999,50.512501,49.787498,50.119999,49.542126,89927600
2019-08-13,50.255001,53.035000,50.119999,52.242500,51.640156,188874000
2019-08-14,50.790001,51.610001,50.647499,50.687500,50.103088,146189600
2019-08-15,50.865002,51.285000,49.917500,50.435001,49.853500,108909600
2019-08-16,51.070000,51.790001,50.959999,51.625000,51.029778,110481600
2019-08-19,52.654999,53.182499,52.507500,52.587502,51.981182,97654400
2019-08-20,52.720001,53.337502,52.580002,52.590000,51.983654,107537200
2019-08-21,53.247501,53.412498,52.900002,53.160000,52.547081,86141600
2019-08-22,53.297501,53.610001,52.687500,53.115002,52.502598,89014800
2019-08-23,52.357498,53.012501,50.250000,50.660000,50.075905,187272000
2019-08-26,51.465000,51.797501,51.264999,51.622501,51.027306,104174400
2019-08-27,51.965000,52.137501,50.882500,51.040001,50.451519,103493200
2019-08-28,51.025002,51.430000,50.830002,51.382500,50.790073,63755200
2019-08-29,52.125000,52.330002,51.665001,52.252499,51.650040,83962000
2019-08-30,52.540001,52.612499,51.799999,52.185001,51.583324,84573600
2019-09-03,51.607498,51.744999,51.055000,51.424999,50.832081,80092000
2019-09-04,52.097500,52.369999,51.830002,52.297501,51.694523,76752400
2019-09-05,53.000000,53.492500,52.877499,53.320000,52.705235,95654800
2019-09-06,53.512501,53.605000,53.127499,53.314999,52.700287,77449200
2019-09-09,53.709999,54.110001,52.767502,53.542500,52.925171,109237600
2019-09-10,53.465000,54.195000,52.927502,54.174999,53.550373,127111600
2019-09-11,54.517502,55.927502,54.432499,55.897499,55.253017,177158400
2019-09-12,56.200001,56.605000,55.715000,55.772499,55.129459,128906800
2019-09-13,55.000000,55.197498,54.255001,54.687500,54.056965,159053200
2019-09-16,54.432499,55.032501,54.389999,54.974998,54.341152,84632400
2019-09-17,54.990002,55.205002,54.779999,55.174999,54.538845,73274800
2019-09-18,55.264999,55.712502,54.860001,55.692501,55.050385,101360000
2019-09-19,55.502499,55.939999,55.092499,55.240002,54.603104,88242400
2019-09-20,55.345001,55.639999,54.367500,54.432499,53.804901,221652400
2019-09-23,54.737499,54.959999,54.412498,54.680000,54.049557,76662000
2019-09-24,55.257500,55.622501,54.297501,54.419998,53.792549,124763200
2019-09-25,54.637501,55.375000,54.285000,55.257500,54.620396,87613600
2019-09-26,55.000000,55.235001,54.707500,54.972500,54.338684,75334000
2019-09-27,55.134998,55.240002,54.320000,54.705002,54.074268,101408000
2019-09-30,55.224998,56.145000,55.197498,55.992500,55.346920,103909600
2019-10-01,56.267502,57.055000,56.049999,56.147499,55.500134,139223200
2019-10-02,55.764999,55.895000,54.482498,54.740002,54.108864,138449200
2019-10-03,54.607498,55.240002,53.782501,55.205002,54.568497,114426000
2019-10-04,56.410000,56.872501,55.972500,56.752499,56.098156,138478800
2019-10-07,56.567501,57.482498,56.459999,56.764999,56.110516,122306000
2019-10-08,56.455002,57.014999,56.082500,56.099998,55.453178,111820000
2019-10-09,56.757500,56.947498,56.410000,56.757500,56.103100,74770400
2019-10-10,56.982498,57.610001,56.825001,57.522499,56.859283,113013600
2019-10-11,58.237499,59.410000,58.077499,59.052502,58.371643,166795600
2019-10-14,58.724998,59.532501,58.667500,58.967499,58.287621,96427600
2019-10-15,59.097500,59.412498,58.720001,58.830002,58.151711,87360000
2019-10-16,58.342499,58.810001,58.299999,58.592499,57.916946,73903200
2019-10-17,58.772499,59.037498,58.380001,58.820000,58.141819,67585200
2019-10-18,58.647499,59.395000,58.572498,59.102501,58.421066,97433600
2019-10-21,59.380001,60.247501,59.330002,60.127499,59.434246,87247200
2019-10-22,60.290001,60.549999,59.904999,59.990002,59.298336,82293600
2019-10-23,60.525002,60.810001,60.305000,60.794998,60.094048,75828800
2019-10-24,61.127499,61.200001,60.452499,60.895000,60.192894,69275200
2019-10-25,60.790001,61.682499,60.720001,61.645000,60.934254,73477200
2019-10-28,61.855000,62.312500,61.680000,62.262501,61.544628,96572800
2019-10-29,62.242500,62.437500,60.642502,60.822498,60.121231,142839600
2019-10-30,61.189999,61.325001,60.302502,60.814999,60.113815,124522000
2019-10-31,61.810001,62.292500,59.314999,62.189999,61.472961,139162000
2019-11-01,62.384998,63.982498,62.290001,63.955002,63.217617,151125200
2019-11-04,64.332497,64.462502,63.845001,64.375000,63.632767,103272000
2019-11-05,64.262497,64.547501,64.080002,64.282501,63.541344,79897600
2019-11-06,64.192497,64.372498,63.842499,64.309998,63.568520,75864400
2019-11-07,64.684998,65.087502,64.527496,64.857498,64.302185,94940400
2019-11-08,64.672501,65.110001,64.212502,65.035004,64.478165,69986400
2019-11-11,64.574997,65.617500,64.570000,65.550003,64.988770,81821200
2019-11-12,65.387497,65.697502,65.230003,65.489998,64.929268,87388800
2019-11-13,65.282501,66.195000,65.267502,66.117500,65.551399,102734400
2019-11-14,65.937500,66.220001,65.525002,65.660004,65.097816,89182800
2019-11-15,65.919998,66.445000,65.752502,66.440002,65.871140,100206400
2019-11-18,66.449997,66.857498,66.057503,66.775002,66.203270,86703200
2019-11-19,66.974998,67.000000,66.347504,66.572502,66.002502,76167200
2019-11-20,66.385002,66.519997,65.099998,65.797501,65.234146,106234400
2019-11-21,65.922501,66.002502,65.294998,65.502502,64.941666,121395200
2019-11-22,65.647499,65.794998,65.209999,65.445000,64.884651,65325200
2019-11-25,65.677498,66.610001,65.629997,66.592499,66.022324,84020400
2019-11-26,66.735001,66.790001,65.625000,66.072502,65.506790,105207600
2019-11-27,66.394997,66.995003,66.327499,66.959999,66.386681,65235600
2019-11-29,66.650002,67.000000,66.474998,66.812500,66.240448,46617600
2019-12-02,66.817497,67.062500,65.862503,66.040001,65.474564,94487200
2019-12-03,64.577499,64.882500,64.072502,64.862503,64.307152,114430400
2019-12-04,65.267502,65.827499,65.169998,65.434998,64.874741,67181600
2019-12-05,65.947502,66.472504,65.682503,66.394997,65.826523,74424400
2019-12-06,66.870003,67.750000,66.824997,67.677498,67.098030,106075600
2019-12-09,67.500000,67.699997,66.227501,66.730003,66.158653,128042400
2019-12-10,67.150002,67.517502,66.464996,67.120003,66.545319,90420400
2019-12-11,67.202499,67.775002,67.125000,67.692497,67.112915,78756800
2019-12-12,66.945000,68.139999,66.830002,67.864998,67.283928,137310400
2019-12-13,67.864998,68.824997,67.732498,68.787498,68.198540,133587600
2019-12-16,69.250000,70.197502,69.245003,69.964996,69.365952,128186000
2019-12-17,69.892502,70.442497,69.699997,70.102501,69.502274,114158400
2019-12-18,69.949997,70.474998,69.779999,69.934998,69.336212,116028400
2019-12-19,69.875000,70.294998,69.737503,70.004997,69.405609,98369200
2019-12-20,70.557503,70.662498,69.639999,69.860001,69.261856,275978000
2019-12-23,70.132500,71.062500,70.092499,71.000000,70.392090,98572000
2019-12-24,71.172501,71.222504,70.730003,71.067497,70.459007,48478800
2019-12-26,71.205002,72.495003,71.175003,72.477501,71.856941,93121200
2019-12-27,72.779999,73.492500,72.029999,72.449997,71.829674,146266000
2019-12-30,72.364998,73.172501,71.305000,72.879997,72.255997,144114400
2019-12-31,72.482498,73.419998,72.379997,73.412498,72.783936,100805600
2020-01-02,74.059998,75.150002,73.797501,75.087502,74.444603,135480400
2020-01-03,74.287498,75.144997,74.125000,74.357498,73.720840,146322800
2020-01-06,73.447502,74.989998,73.187500,74.949997,74.308266,118387200
2020-01-07,74.959999,75.224998,74.370003,74.597504,73.958794,108872000
2020-01-08,74.290001,76.110001,74.290001,75.797501,75.148521,132079200
2020-01-09,76.809998,77.607498,76.550003,77.407501,76.744728,170108400
2020-01-10,77.650002,78.167503,77.062500,77.582497,76.918221,140644800
2020-01-13,77.910004,79.267502,77.787498,79.239998,78.561531,121532000
2020-01-14,79.175003,79.392502,78.042503,78.169998,77.500702,161954400
2020-01-15,77.962502,78.875000,77.387497,77.834999,77.168564,121923600
2020-01-16,78.397499,78.925003,78.022499,78.809998,78.135223,108829200
2020-01-17,79.067497,79.684998,78.750000,79.682503,79.000244,137816400
